name,address,city,state,postal_code
"Lydia's La Canasta Mexican Food","2501 W Van Buren St",Phoenix,AZ,85009
"Pho Binh Minh","4141 N 35th Ave, Ste 11",Phoenix,AZ,85017
"Bakery By Chef Tom","5835 W Plamaire Ave, Ste E",Phoenix,AZ,85301
"Two Hippies Pizza and Burger Joint","4034 N 24th St",Phoenix,AZ,85016
"Taqueria Tepehuaje","4602 S Central",Phoenix,AZ,85041
"Jack-In-the Box","3455 W McDowell Rd",Phoenix,AZ,85009
"Mariscos Vuelve a La Vida","1602 E Roosevelt St",Phoenix,AZ,85006
"Hamburger Yumi Yum","12TH St And Indian School",Phoenix,AZ,85006
"Ichi Ban Japanese Restaurant & Sushi","2815 N Central Ave",Phoenix,AZ,85004
"Bubba Phatz","610 E Roosevelt St",Phoenix,AZ,85004
"Food City","845 W Southern Ave",Phoenix,AZ,85041
"P.F. Chang's","2420 W Happy Valley Rd",Phoenix,AZ,85085
"El Pacifico Restaurante Y Pescaderia","3311 N 16th St",Phoenix,AZ,85016
"Taco Bell","2450 E Indian School Rd",Phoenix,AZ,85016
McDonald's,"1850 S 7th St",Phoenix,AZ,85004
"Taco Bell","34906 N Valley Parkway",Phoenix,AZ,85086
"Lenny's Burger","2545 W Glendale Ave",Phoenix,AZ,85051
"The Greek Pita","2737 W Thunderbird Rd, Ste 108",Phoenix,AZ,85053
"Peets Coffee And Tea","Sky Harbor International Airport",Phoenix,AZ,85034
"Qdoba Mexican Grill","12005 N Tatum Blvd, Ste 109",Phoenix,AZ,85028
"Panda Express","3923 E Thomas Rd",Phoenix,AZ,85018
"Zen Zen Yogurt","4340 E Indian School Rd, Ste 19",Phoenix,AZ,85018
"The Nile Cafe","610 E Roosevelt St",Phoenix,AZ,85004
"Ajo Al's Mexican Cafe","5101 N 16th St",Phoenix,AZ,85016
Subway,"2835 N 16th St, Ste 5",Phoenix,AZ,85006
Starbucks,"8021 N 35th Ave",Phoenix,AZ,85051
